AON,-1,0885,3,7212,0,2515228758169934640522875817
AOS,-0,5385,1,7004,0,1093827886710239651416122004
AOSL,-0,3700,0,2800,-0,0205446623093681917211328976
APA,-1,7604,1,5553,0,0845897603485838779956427015
APAM,-1,6501,1,8019,0,1828864923747276688453159041
APC,-2,9376,2,1937,-0,0558459694989106753812636166
APD,-1,9472,3,3876,0,0131592592592592592592592593
APEI,-0,7700,2,5300,0,0798910675381263616557734205
APH,-0,9186,0,9904,0,0392742919389978213507625272
APOG,-0,6521,1,3268,0,1038376906318082788671023965
APTS,-0,2586,0,1867,-0,0083993464052287581699346405
ARAY,-0,3200,0,8850,0,0208932461873638344226579521
ARE,-1,2772,2,4952,0,0153769063180827886710239651
AREX,-2,6700,2,3900,0,0212854030501089324618736383
ARGO,-0,5922,0,8052,0,0037973856209150326797385621
ARI,-0,1793,0,2085,0,016437037037037037037037037
ARII,-2,0923,2,0503,0,1939152505446623093681917211
ARL,-0,6600,0,6600,0,0377574370709382151029748284
ARNA,-5,2000,7,1000,-0,2031590413943355119825708061
ARNC,-1,5189,1,6208,0,0434043572984749455337690632
AROW,-0,4989,0,4068,0,0091126361655773420479302832
ARQL,-0,2400,0,1100,0,0011938997821350762527233115
ARR,-1,0550,1,0427,0,0076028322440087145969498911
ARRS,-0,5200,1,3550,0,0192592592592592592592592593
ARRY,-0,5800,0,4100,-0,0103594771241830065359477124
ARTNA,-0,4970,0,5349,0,0132647058823529411764705882
ARW,-2,0200,1,3500,0,1237472766884531590413943355
ARWR,-0,8600,0,9800,0,0590631808278867102396514161
ASB,-0,2701,0,6371,0,0207209150326797385620915033
ASC,-0,3407,0,7775,-0,0033357298474945533769063181
ASGN,-1,4000,1,3300,0,0303921568627450980392156863
ASH,-2,8286,0,9612,-0,0244660130718954248366013072
ASMB,-1,2000,1,5000,-0,0138344226579520697167755991
ASNA,-0,5200,2,7400,0,0972113289760348583877995643
ASPS,-6,9000,14,0400,0,2232897603485838779956427015
ASRT,-0,2600,0,4400,-0,0001089324618736383442265795
ASTE,-1,3877,0,8613,-0,0273348583877995642701525054
ASUR,-0,3000,0,3900,0,0155098039215686274509803922
AT,-0,3904,0,2586,-0,0030930283224400871459694989
ATGE,-1,6014,1,1891,0,1041884531590413943355119826
ATHN,-11,9080,25,3670,0,4445185185185185185185185185
ATHX,-0,0900,0,2800,-0,0024400871459694989106753813
ATI,-0,7467,1,1293,0,0489627450980392156862745098
ATLO,-0,8836,0,8665,0,0119074074074074074074074074
ATNI,-2,3820,2,3174,0,1758267973856209150326797386
ATO,-0,8874,0,8434,0,1285498910675381263616557734
